itemID,itemName,itemDesc,itemPrice,currentStock,minStock
111111, Dog Coat (S), A small sized dog coat. Various color options.,$16.99,10,
111112, Cat Scratching Post, Durable scratching post for cats.,$24.99,15,
111113, Rabbit Hutch, Spacious hutch for rabbits with multiple compartments.,$99.99,8,
111114, Dog Leash (M), Medium-sized dog leash with reflective strips.,$12.99,20,
111115, Cat Toy Set, Set of assorted toys to entertain your cat.,$19.99,25,
111116, Dog Bed (L), Large orthopedic dog bed for maximum comfort.,$49.99,12,
111117, Bird Cage, Stylish cage for small birds.,$29.99,18,
111118, Fish Tank (20 gallons), Aquarium suitable for small fish.,$79.99,10,
111119, Hamster Wheel, Silent-running wheel for hamsters.,$9.99,30,
111120, Dog Chew Toy, Durable chew toy for dogs.  Helps with dental health.,$8.99,15,
111121, Cat Litter Box, Spacious litter box with odor control.,$34.99,20,
111122, Rabbit Hay Feeder, Convenient feeder for rabbits to access hay.,$14.99,15,
111123, Dog Food Bowl (S), Small-sized stainless steel bowl for dogs.,$6.99,50,
111124, Cat Collar, Adjustable collar with bell for safety.,$5.99,35,
111125, Bird Perch, Natural wood perch for birds to rest and play.,$7.99,45,
111126, Guinea Pig Cage, Cozy cage for guinea pigs with multiple levels.,$39.99,10,
111127, Dog Grooming Brush, Soft-bristled brush for grooming dogs.,$11.99,30,
111128, Catnip, Premium catnip to entice your cat.,$3.99,25,
111129, Turtle Tank, Tank setup for turtles with basking area.,$89.99,8,
111130, Ferret Tunnel, Tunnel system for ferrets to explore and play.,$17.99,20,
111131, Dog Treats, Assorted flavors of treats for dogs.,$9.99,60,
111132, Cat Tree, Multi-level tree for cats to climb and scratch.,$59.99,10,
111133, Rabbit Water Bottle, Drip-resistant water bottle for rabbits.,$8.99,25,
111134, Dog Poop Bags, Biodegradable bags for convenient waste disposal.,$4.99,70,
111135, Fish Food, Nutritious food pellets for fish.,$12.99,40,
111136, Hamster Cage, Compact cage with exercise wheel for hamsters.,$29.99,15,
111137, Dog Training Clicker, Clicker tool for positive reinforcement training.,$3.99,50,
111138, Cat Bed (M), Medium-sized cozy bed for cats.,$19.99,25,
111139, Bird Swing, Swing perch for birds to exercise and relax.,$6.99,35,
111140, Rabbit Chew Toy, Chewable toy for rabbits to keep their teeth healthy.,$5.99,30,
111141, Dog Cooling Mat, Cooling mat for dogs to beat the heat.,$21.99,20,
111142, Cat Tunnel, Interactive tunnel for cats to play and hide.,$14.99,30,
111143, Bird Feeder, Hanging feeder for wild birds.,$10.99,40,
